query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.4331283619999997
2,ming,4,3,True,0.013131804000000358
3,ming,4,3,True,0.009043775999998616
4,ming,4,3,True,0.0084800929999993
5,ming,11,4,True,0.3152375549999995
6,ming,4,3,True,0.00827959000000078
7,ming,3,2,True,0.009317741999998574
8,ming,5,4,True,0.02912850299999903
9,ming,4,3,True,0.006793260000000245
10,ming,228,12,True,1.4311450360000002
11,ming,20663,9,True,6.7466989680000005
12,ming,4,3,True,0.006270117999999769
13,ming,4,3,True,0.00877308800000165
14,ming,10000000,0,False,1151.62026883
15,ming,6,5,True,0.4947031670001252
16,ming,4,3,True,0.008264386999826456
17,ming,2,1,True,0.016971979000118154
18,ming,11,10,True,0.16586947799987684
19,ming,4,3,True,0.051145288000043365
20,ming,4,3,True,0.11929753100002927
21,ming,3,2,True,0.11612128499996288
22,ming,4,3,True,0.009542526999894108
23,ming,3,2,True,0.005334415000106674
24,ming,3,2,True,0.005430466000007073
25,ming,4,3,True,0.010729224999977305
26,ming,3,2,True,0.005216550999875835
27,ming,37,9,True,0.15292045700016388
28,ming,5,3,True,0.15154509300009522
29,ming,21620,5,True,2.913903226000002
30,ming,3,2,True,0.007816846999958216
31,ming,4,3,True,0.01023175400018772
32,ming,4,3,True,0.13354597500006093
33,ming,4,3,True,0.13031419999992977
34,ming,12,11,True,0.05869066999980532
35,ming,4,3,True,0.0064661160001833196
36,ming,148,11,True,0.175069429000132
37,ming,14,13,True,0.17917277199990167
38,ming,3,2,True,0.11486843200009389
39,ming,6637,15,True,2.055783151000014
40,ming,5,4,True,0.12539845699984653
41,ming,7,4,True,0.01469818700002179
42,ming,13980,12,True,14.849799719999965
43,ming,4,3,True,0.006718924000097104
44,ming,10000000,0,False,1262.87468716
45,ming,3,2,True,0.02145728400000735
46,ming,3,2,True,0.07064025199997559
47,ming,4,3,True,0.007034927000404423
48,ming,5,3,True,0.008551128999897628
49,ming,3,2,True,0.07237183799998093
50,ming,3,2,True,0.003542541000115307
51,ming,8,7,True,0.15528178800013848
52,ming,3,2,True,0.0708207500001663
53,ming,3,2,True,0.08569714099985504
54,ming,3,2,True,0.07051854800010915
55,ming,4,3,True,0.03434316399989257
56,ming,4,3,True,0.005133291000220197
57,ming,9935809,8,True,777.3964434250001
58,ming,4,3,True,0.03500856400023622
59,ming,6,5,True,0.013019915000313631
60,ming,7,4,True,0.08601268700022047
61,ming,3,2,True,0.07932000599976163
62,ming,171063,9,True,11.155625415000031
63,ming,3,2,True,0.004926307000005181
64,ming,4,3,True,0.09419532599986269
65,ming,3,2,True,0.04562798799997836
66,ming,3,2,True,0.009136000000125932
67,ming,16,11,True,0.17806895500007158
68,ming,4,3,True,0.004778299999998126
69,ming,3,2,True,0.00369756200007032
70,ming,4,3,True,0.006076280000343104
71,ming,4,3,True,0.07420340999988184
72,ming,5,4,True,0.35806151399992814
73,ming,9,7,True,0.7426360439999371
74,ming,15093,0,False,23.965932145999886
75,ming,215,7,True,0.28665611600035845
76,ming,2,1,True,0.00011578099974940415
77,ming,3,2,True,0.0026186840000264056
78,ming,7,3,True,0.008062970000082714
79,ming,1424,15,True,1.5038490209999509
80,ming,10000000,0,False,592.0800345419998
81,ming,4,3,True,0.09047773100019185
82,ming,4,3,True,0.036743022999871755
83,ming,4,3,True,0.005329382000127225
84,ming,9,8,True,0.09704518299986375
85,ming,4,3,True,0.07195367999975133
86,ming,3,2,True,0.07172425899989321
87,ming,3,2,True,0.0065232860001742665
88,ming,9,8,True,0.019876083000326616
89,ming,3,2,True,0.0033220039999832807
90,ming,3,2,True,0.0038429579999501584
91,ming,5,3,True,0.09597740999970483
92,ming,14,13,True,0.06556712099973083
93,ming,4,3,True,0.0052435940001487324
94,ming,9,8,True,0.09236108899995088
95,ming,4,3,True,0.006123206000211212
96,ming,4,3,True,0.006109612000273046
97,ming,13,9,True,0.029896796000230097
98,ming,3,2,True,0.004609736000020348
99,ming,3,2,True,0.07021526299968173
100,ming,3,2,True,0.07045067600029142
