goal	rule	score
p2(X0, X6)	p2(a0, a58)	1
p4(X0, a0)	p4(a55, a0)	1
p0(X3)	p0(a92)	1
p1(X3, X0)	p1(a46, a92)	1
p1(X8, X4)	p1(a78, a1)	1
p7(X4)	p7(a74)	1
p0(a27)	p0(a27)	1
p9(X1)	p9(a34)	1
p7(X3)	p7(a61)	1
p5(X0, X1)	p5(X2, a26) :- p7(X2), p0(X2)	1
p4(X5, X0)	p4(a37, a61)	1
p2(X0, X6)	p2(a8, a0)	1
p4(X0, X4)	p4(a32, a0)	1
p3(X9, X3, X0, X1, X2)	p3(a13, a38, a10, a1, a17)	1
p4(a51, a51)	p4(X1, X1) :- p7(X1)	1
p4(X5, X0)	p4(a37, a99)	1
p5(X0, a0)	p5(a27, a0)	1
p0(X9)	p0(X3) :- p4(X3, X9), p1(X3, X9)	1
p0(a16)	p0(a16)	1
p3(X0, X1, X2, X3, X4)	p3(a18, a2, a68, a31, a70)	1
p0(X9)	p0(a97)	1
p2(X0, X6)	p2(a46, a33)	1
p6(X6, X0)	p6(a11, a36)	1
p3(X9, X3, X0, X1, X2)	p3(a29, a35, a60, a0, a21)	1
p4(X0, X1)	p4(a10, a90)	1
p4(X0, X4)	p4(a49, a3)	1
p4(X6, X8)	p4(a27, a45)	1
p0(X9)	p0(a10)	1
p7(X0)	p7(a36)	1
p7(X5)	p7(a82)	1
p1(X3, X0)	p1(a55, a33)	1
p5(X0, X4)	p5(a55, a10)	1
p6(a68, X0)	p6(a68, a6)	1
p4(a55, X0)	p4(a55, a0)	1
p6(X0, X1)	p6(a51, a11)	1
p9(a48)	p9(a48)	1
p8(a83, a56, X0, a79)	p8(a83, a56, a11, a79)	1
p7(X3)	p7(a74)	1
p1(X1, X0)	p1(a33, a30)	1
p1(X2, X0)	p1(a55, a33)	1
p0(X2)	p0(a9)	1
p3(X9, X4, X0, X1, X2)	p3(a18, a4, a22, a1, a93)	1
p4(X0, X4)	p4(a71, a19)	1
p4(X0, X1)	p4(a23, a86)	1
p3(X4, X6, X0, X1, X2)	p3(a13, a7, a1, a37, a14)	1
p1(X0, X1)	p1(a15, a23)	1
p4(X0, a56)	p4(X1, X1) :- p7(X1)	1
p7(X9)	p7(a99)	1
p5(X1, X0)	p5(a36, a50)	1
p1(a45, X0)	p1(a45, a14)	1
p3(X5, X1, X0, X2, X3)	p3(a13, a38, a10, a1, a17)	1
p1(X9, X0)	p1(a36, a17)	1
p8(a0, X0, X0, X0)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	1
p1(X4, X7)	p1(a36, a17)	1
p6(X6, X0)	p6(a99, a47)	1
p3(X5, X6, X0, X1, X2)	p3(a85, a15, a12, a3, a25)	1
p0(X3)	p0(a60)	1
p1(X3, X0)	p1(a55, a43)	1
p1(X2, X0)	p1(a73, a12)	1
p6(X6, X0)	p6(a15, a44)	1
p2(X9, X8)	p2(a30, a23)	1
p0(a1)	p0(X2) :- p5(a10, X2)	1
p4(X1, X0)	p4(a0, a15)	1
p4(X1, X0)	p4(a10, a0)	1
p7(X1)	p7(a30)	1
p1(X4, X0)	p1(a84, a0)	1
p4(X6, X8)	p4(a52, a0)	1
p4(a99, a99)	p4(X1, X1) :- p7(X1)	1
p3(X3, X2, X0, X1, X4)	p3(a22, a9, a54, a13, a17)	1
p1(X3, X0)	p1(a24, a92)	1
p1(X5, X0)	p1(a31, a69)	1
p0(X5)	p0(a92)	1
p1(X5, X0)	p1(a93, a31)	1
p6(X1, X0)	p6(a14, a20)	1
p0(a0)	p0(X3) :- p4(X3, X9), p1(X3, X9)	1
p0(X6)	p0(a15)	1
p6(X4, X0)	p6(a86, a2)	1
p4(a22, X0)	p4(X1, X1) :- p7(X1)	1
p7(X0)	p7(a8)	1
p4(X3, X0)	p4(a12, a30)	1
p5(X0, X1)	p5(a3, a22)	1
p3(X3, X2, X0, X1, X4)	p3(a25, a0, a77, a12, a1)	1
p1(X2, X0)	p1(a24, a92)	1
p0(a18)	p0(a18)	1
p4(X9, X0)	p4(a14, a4)	1
p2(X0, X1)	p2(a0, a10)	1
p4(X1, X0)	p4(a12, a14)	1
p4(X0, X4)	p4(a48, a25)	1
p4(X2, X0)	p4(a49, a3)	1
p7(X1)	p7(a48)	1
p8(a10, X7, X7, X7)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	1
p3(X4, X6, X0, X1, X2)	p3(a20, a38, a28, a74, a59)	1
p1(X9, X0)	p1(a16, a2)	1
p3(X4, X6, X0, X1, X2)	p3(a0, a1, a5, a37, a0)	1
p9(X5)	p9(a16)	1
p6(X4, X0)	p6(a1, a13)	1
p0(X6)	p0(a95)	1
p4(X5, X0)	p4(a62, X2) :- p6(X2, X3)	1
p4(X9, X0)	p4(a49, a3)	1
p4(X5, X0)	p4(a0, a3)	1
p9(X7)	p9(a2)	1
p3(X9, X3, X0, X1, X2)	p3(a19, a41, a16, a42, a4)	1
p6(X5, X0)	p6(a19, a11)	1
p6(X4, X0)	p6(a90, a27)	1
p9(X6)	p9(a84)	1
p8(a57, X1, X1, X1)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	1
p3(X9, X3, X0, X1, X2)	p3(a24, a9, a19, a63, a61)	1
p7(X6)	p7(a22)	1
p7(X0)	p7(a3)	1
