query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.0001980559999994469
2,std,4,3,True,0.001453638999999285
3,std,4,3,True,0.0008088649999997699
4,std,4,3,True,0.00078678000000032
5,std,7,5,True,0.003141599000000106
6,std,4,3,True,0.0007947210000001093
7,std,3,2,True,0.0009715049999998726
8,std,9,4,True,0.003752507999999821
9,std,4,3,True,0.0010298269999999832
10,std,191,13,True,0.03719483300000004
11,std,13615,10,True,0.8464609489999999
12,std,4,3,True,0.0009649859999996124
13,std,4,3,True,0.0007614339999992836
14,std,30,5,True,0.016738537000000164
15,std,182,5,True,0.03307204200000058
16,std,4,3,True,0.0007943539999999416
17,std,2,1,True,0.0005706920000001503
18,std,11,10,True,0.0037221129999984726
19,std,26,3,True,0.015391726999999022
20,std,4,3,True,0.0016141330000003506
21,std,3,2,True,0.0011186659999999904
22,std,4,3,True,0.00013643900000026576
23,std,3,2,True,0.0007024590000010988
24,std,3,2,True,0.0008404619999993201
25,std,4,3,True,0.0009594790000004849
26,std,3,2,True,0.0009155560000007057
27,std,674,9,True,0.22489178399999865
28,std,4,3,True,0.0003804519999999201
29,std,6,5,True,0.0008125339999995873
30,std,3,2,True,0.0007132460000001117
31,std,4,3,True,0.0011635279999993031
32,std,4,3,True,0.005304432000000858
33,std,6,3,True,0.0019977320000013066
34,std,96,11,True,0.013924391999999841
35,std,4,3,True,0.0010265319999991362
36,std,15,12,True,0.0021897969999997713
37,std,18670,13,True,1.0256904570000014
38,std,3,2,True,0.0012169620000008763
39,std,1251,15,True,0.2226988599999995
40,std,3,2,True,0.001028199000000285
41,std,5,4,True,0.0014517270000009574
42,std,3176,12,True,0.25842125299999985
43,std,5,3,True,0.0011240799999985285
44,std,15006,0,False,0.7317208849999997
45,std,3,2,True,0.0011968939999995598
46,std,3,2,True,0.0012983249999987123
47,std,4,3,True,0.0014629750000008102
48,std,5,3,True,0.0002956759999985792
49,std,3,2,True,0.001618256999998735
50,std,3,2,True,0.001069954000000095
51,std,9,7,True,0.0006603409999996757
52,std,3,2,True,0.0015040549999998376
53,std,3,2,True,0.0014038210000002493
54,std,3,2,True,0.0013871349999998728
55,std,6,3,True,0.0027239610000009407
56,std,4,3,True,0.0008890299999997353
57,std,162,8,True,0.010957974000000092
58,std,32,3,True,0.02262428100000058
59,std,6,5,True,0.0013198600000006167
60,std,3,2,True,0.0010765390000013753
61,std,3,2,True,0.001936056999999991
62,std,91971,7,True,2.1769765139999997
63,std,3,2,True,0.0008695550000012986
64,std,4,3,True,0.0001017240000003028
65,std,37,2,True,0.026601217999999704
66,std,3,2,True,0.001612334999999021
67,std,44,11,True,0.027666576999999748
68,std,4,3,True,0.0011058560000005713
69,std,3,2,True,0.0007505519999995158
70,std,4,3,True,0.00012955299999894976
71,std,4,3,True,0.0011790919999992155
72,std,6,5,True,0.015065834999999694
73,std,10,9,True,0.0024322980000004435
74,std,635,0,False,0.04435081899999993
75,std,290,7,True,0.056446803000000045
76,std,2,1,True,6.991099999886785e-05
77,std,3,2,True,0.00024133800000036842
78,std,4,3,True,0.00019727599999974643
79,std,282,15,True,0.12304577500000136
80,std,4,3,True,0.000870378000000116
81,std,4,3,True,0.0012147860000002453
82,std,4,3,True,0.0012722850000006503
83,std,4,3,True,0.0008157260000007938
84,std,2196,11,True,0.16967071599999883
85,std,4,3,True,0.0012233730000001941
86,std,3,2,True,0.00151534399999953
87,std,3,2,True,0.0009947599999993173
88,std,255,8,True,0.027101450000001748
89,std,3,2,True,0.0007795489999988803
90,std,3,2,True,0.000962344999999587
91,std,4,3,True,0.0012172580000004984
92,std,14,13,True,0.004564260999998737
93,std,4,3,True,0.000797251999999915
94,std,26,8,True,0.012816101000000302
95,std,4,3,True,0.0010253010000003115
96,std,4,3,True,0.0032636640000003325
97,std,18,9,True,0.0016425169999987332
98,std,3,2,True,0.0009426129999994259
99,std,3,2,True,0.0011658180000004847
100,std,3,2,True,0.00109979700000018
